record_type,model_id,baseline_model,resize,mode,metric,n,mean,sample_sd,complete,seed,epoch,value
paired_efficiency_ratio,mn_l2,deit_s8,224,train,peak_reserved_ratio,8,1.3055555555555556,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,train,params_ratio,8,1.0479894486892212,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,train,throughput_ratio,8,0.8219049306374926,0.0601448237868643,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,train,step_time_ratio,8,1.2227222892687268,0.09466355091705594,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,train,peak_allocated_ratio,8,0.8159263823204875,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,train,peak_reserved_ratio,8,0.9506633499170812,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,train,params_ratio,8,1.0457193985915003,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_generic,throughput_ratio,8,0.5463345116687341,0.016886018183116733,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_generic,step_time_ratio,8,1.8320054240544938,0.060099329509876794,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_generic,peak_allocated_ratio,8,2.10645583708416,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_generic,peak_reserved_ratio,8,2.4275092936802976,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_generic,params_ratio,8,1.0479894486892212,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_generic,throughput_ratio,8,0.7969414930930825,0.03331515621466117,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_generic,step_time_ratio,8,1.2568370186069036,0.055812628374205,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_generic,peak_allocated_ratio,8,1.9286004199786806,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_generic,peak_reserved_ratio,8,2.2899628252788102,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_generic,params_ratio,8,1.0457193985915003,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_fast,throughput_ratio,8,0.5779903008212538,0.02237081254903681,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_fast,step_time_ratio,8,1.732558689105632,0.07167466066816969,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_fast,peak_allocated_ratio,8,2.02397680931558,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_fast,peak_reserved_ratio,8,2.423791821561338,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,infer_fast,params_ratio,8,1.0479894486892212,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_fast,throughput_ratio,8,0.8344435211176379,0.04179988508319056,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_fast,step_time_ratio,8,1.20119272052271,0.06370322074941864,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_fast,peak_allocated_ratio,8,1.8462239302399603,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_fast,peak_reserved_ratio,8,2.2899628252788102,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,224,infer_fast,params_ratio,8,1.0457193985915003,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,train,throughput_ratio,8,0.6628614125166099,0.01720540700968967,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,train,step_time_ratio,8,1.5095143869231193,0.039790644752746795,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,train,peak_allocated_ratio,8,1.1602134140086564,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,train,peak_reserved_ratio,8,1.3419271672574928,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,train,params_ratio,8,1.0520139230744814,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,train,throughput_ratio,8,0.9307272838408155,0.037905501581103083,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,train,step_time_ratio,8,1.0760773452298285,0.04629406238035322,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,train,peak_allocated_ratio,8,0.8140603569343768,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,train,peak_reserved_ratio,8,0.9726071543667418,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,train,params_ratio,8,1.0497534692553512,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_generic,throughput_ratio,8,0.5914304152730623,0.003930416289481366,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_generic,step_time_ratio,8,1.690881434275849,0.011255655151398663,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_generic,peak_allocated_ratio,8,2.202527140529682,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_generic,peak_reserved_ratio,8,2.4176136363636362,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_generic,params_ratio,8,1.0520139230744814,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_generic,throughput_ratio,8,0.8669898932709688,0.013623661035454857,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_generic,step_time_ratio,8,1.1536662757350917,0.018204943923285824,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_generic,peak_allocated_ratio,8,2.013317621088855,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_generic,peak_reserved_ratio,8,2.278409090909091,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_generic,params_ratio,8,1.0497534692553512,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_fast,throughput_ratio,8,0.6192142603457292,0.006188150871181783,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_fast,step_time_ratio,8,1.6150911696475003,0.01615722457420037,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_fast,peak_allocated_ratio,8,2.1140324051860953,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_fast,peak_reserved_ratio,8,1.8380681818181819,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,256,infer_fast,params_ratio,8,1.0520139230744814,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_fast,throughput_ratio,8,0.9127053542947049,0.016639768203456674,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_fast,step_time_ratio,8,1.0959701212322424,0.020457742456265377,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_fast,peak_allocated_ratio,8,1.9248228857452683,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_fast,peak_reserved_ratio,8,1.6960227272727273,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,256,infer_fast,params_ratio,8,1.0497534692553512,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,train,throughput_ratio,8,0.7201411463936411,0.0069137982731952395,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,train,step_time_ratio,8,1.3887300527333257,0.013497929831984464,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,train,peak_allocated_ratio,8,1.1611878916993768,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,train,peak_reserved_ratio,8,1.3193166885676741,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,train,params_ratio,8,1.0615352312193795,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,train,throughput_ratio,8,1.0762005906355794,0.01566391074976838,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,train,step_time_ratio,8,0.9293660980273704,0.013450808014021102,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,train,peak_allocated_ratio,8,0.8105207313605153,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,train,peak_reserved_ratio,8,0.9908015768725361,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,train,params_ratio,8,1.059297480768878,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_generic,throughput_ratio,8,0.6514412916057474,0.007035048506428535,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_generic,step_time_ratio,8,1.5352176237378365,0.01692006880524064,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_generic,peak_allocated_ratio,8,2.3333021106919145,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_generic,peak_reserved_ratio,8,2.6,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_generic,params_ratio,8,1.0615352312193795,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_generic,throughput_ratio,8,0.9679262906506592,0.020151255354659624,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_generic,step_time_ratio,8,1.0335350752466654,0.021880503248978757,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_generic,peak_allocated_ratio,8,2.1326182728131022,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_generic,peak_reserved_ratio,8,2.4448979591836735,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_generic,params_ratio,8,1.059297480768878,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_fast,throughput_ratio,8,0.6788719014930842,0.002654916366254273,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_fast,step_time_ratio,8,1.4730516580428337,0.005759737409140484,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_fast,peak_allocated_ratio,8,2.2357286682158057,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_fast,peak_reserved_ratio,8,2.6,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,320,infer_fast,params_ratio,8,1.0615352312193795,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_fast,throughput_ratio,8,1.0203807661228668,0.005024829532386065,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_fast,step_time_ratio,8,0.9800471228772837,0.004829554002969577,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_fast,peak_allocated_ratio,8,2.0350448303369935,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_fast,peak_reserved_ratio,8,2.4448979591836735,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,320,infer_fast,params_ratio,8,1.059297480768878,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,160,logits_parity,max_abs_diff,8,0.0008544921875,0.00017263349150062197,True,,,
parity_formal,mn_l2,generic_vs_fast,160,logits_parity,mean_abs_diff,8,0.0001286404913116712,1.9766859883297445e-06,True,,,
parity_formal,mn_l2,generic_vs_fast,160,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,160,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l4,generic_vs_fast,160,logits_parity,max_abs_diff,8,0.001007080078125,8.631674575031098e-05,True,,,
parity_formal,mn_l4,generic_vs_fast,160,logits_parity,mean_abs_diff,8,0.00015956857532728463,3.343382615630727e-06,True,,,
parity_formal,mn_l4,generic_vs_fast,160,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,160,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l2,generic_vs_fast,192,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,192,logits_parity,mean_abs_diff,8,0.0001330962095380528,2.011641425199247e-06,True,,,
parity_formal,mn_l2,generic_vs_fast,192,logits_parity,argmax_agreement,8,1.0,0.0,True,,,
parity_formal,mn_l2,generic_vs_fast,192,logits_parity,allclose_all,8,,,True,,,True
parity_formal,mn_l4,generic_vs_fast,192,logits_parity,max_abs_diff,8,0.0009765625,0.0,True,,,
parity_formal,mn_l4,generic_vs_fast,192,logits_parity,mean_abs_diff,8,0.00016457942547276616,2.609727695905938e-06,True,,,
